,SOC
2019-03-01 00:00:00,1032.0
2019-03-01 01:00:00,1032.0
2019-03-01 02:00:00,1290.86
2019-03-01 03:00:00,1549.72
2019-03-01 04:00:00,1808.58
2019-03-01 05:00:00,2064.0
2019-03-01 06:00:00,2064.0
2019-03-01 07:00:00,1676.0879
2019-03-01 08:00:00,1288.1758
2019-03-01 09:00:00,900.26373
2019-03-01 10:00:00,512.3516
2019-03-01 11:00:00,124.43956
2019-03-01 12:00:00,2.3564787
2019-03-01 13:00:00,1.0149064
2019-03-01 14:00:00,1.0149064
2019-03-01 15:00:00,1.0149064
2019-03-01 16:00:00,1.0149064
2019-03-01 17:00:00,1.0149064
2019-03-01 18:00:00,1.0149064
2019-03-01 19:00:00,1.0149064
2019-03-01 20:00:00,1.0149064
2019-03-01 21:00:00,1.0149064
2019-03-01 22:00:00,1.0149064
2019-03-01 23:00:00,1.0149064
2019-03-02 00:00:00,1.0149064
2019-03-02 01:00:00,1.0149064
2019-03-02 02:00:00,1.0149064
2019-03-02 03:00:00,1.0149064
2019-03-02 04:00:00,1.0149064
2019-03-02 05:00:00,1.0149064
2019-03-02 06:00:00,1.0149064
2019-03-02 07:00:00,1.0149064
2019-03-02 08:00:00,1.0149064
2019-03-02 09:00:00,1.0149064
2019-03-02 10:00:00,1.0149064
2019-03-02 11:00:00,1.0149064
2019-03-02 12:00:00,1.0149064
2019-03-02 13:00:00,1.0149064
2019-03-02 14:00:00,1.0149064
2019-03-02 15:00:00,1.0149064
2019-03-02 16:00:00,1.0149064
2019-03-02 17:00:00,1.0149064
2019-03-02 18:00:00,1.0149064
2019-03-02 19:00:00,1.0149064
2019-03-02 20:00:00,1.0149064
2019-03-02 21:00:00,1.0149064
2019-03-02 22:00:00,1.0149064
2019-03-02 23:00:00,1.0149064
2019-03-03 00:00:00,1.0149064
2019-03-03 01:00:00,1.0149064
2019-03-03 02:00:00,259.8749
2019-03-03 03:00:00,518.7349
2019-03-03 04:00:00,777.5949
2019-03-03 05:00:00,1036.455
2019-03-03 06:00:00,1295.315
2019-03-03 07:00:00,1554.1749
2019-03-03 08:00:00,1554.1749
2019-03-03 09:00:00,1554.1749
2019-03-03 10:00:00,1554.1749
2019-03-03 11:00:00,1554.1749
2019-03-03 12:00:00,1554.1749
2019-03-03 13:00:00,1554.1749
2019-03-03 14:00:00,1554.1749
2019-03-03 15:00:00,1554.1749
2019-03-03 16:00:00,1554.1749
2019-03-03 17:00:00,1554.1749
2019-03-03 18:00:00,1166.2628
2019-03-03 19:00:00,778.3507
2019-03-03 20:00:00,778.3507
2019-03-03 21:00:00,778.3507
2019-03-03 22:00:00,778.3507
2019-03-03 23:00:00,778.3507
2019-03-04 00:00:00,778.3507
2019-03-04 01:00:00,1037.2107
2019-03-04 02:00:00,1296.0707
2019-03-04 03:00:00,1554.9308
2019-03-04 04:00:00,1813.7908
2019-03-04 05:00:00,1813.7908
2019-03-04 06:00:00,1813.7908
2019-03-04 07:00:00,1425.8787
2019-03-04 08:00:00,1037.9666
2019-03-04 09:00:00,650.05444
2019-03-04 10:00:00,262.14236
2019-03-04 11:00:00,3.8696964
2019-03-04 12:00:00,1.0315351
2019-03-04 13:00:00,1.0315351
2019-03-04 14:00:00,1.0315351
2019-03-04 15:00:00,1.0315351
2019-03-04 16:00:00,1.0315351
2019-03-04 17:00:00,1.0315351
2019-03-04 18:00:00,1.0315351
2019-03-04 19:00:00,1.0315351
2019-03-04 20:00:00,1.0315351
2019-03-04 21:00:00,1.0315351
2019-03-04 22:00:00,1.0315351
2019-03-04 23:00:00,259.89154
2019-03-05 00:00:00,518.7515
2019-03-05 01:00:00,777.6115
2019-03-05 02:00:00,1036.4716
2019-03-05 03:00:00,1295.3315
2019-03-05 04:00:00,1554.1915
2019-03-05 05:00:00,1813.0515
2019-03-05 06:00:00,1813.0515
2019-03-05 07:00:00,1813.0515
2019-03-05 08:00:00,1425.1394
2019-03-05 09:00:00,1425.1394
2019-03-05 10:00:00,1425.1394
2019-03-05 11:00:00,1425.1394
2019-03-05 12:00:00,1425.1394
2019-03-05 13:00:00,1425.1394
2019-03-05 14:00:00,1425.1394
2019-03-05 15:00:00,1425.1394
2019-03-05 16:00:00,1037.2274
2019-03-05 17:00:00,649.31525
2019-03-05 18:00:00,649.31525
2019-03-05 19:00:00,261.4032
2019-03-05 20:00:00,3.8615735
2019-03-05 21:00:00,1.0314459
2019-03-05 22:00:00,1.0314459
2019-03-05 23:00:00,1.0314459
2019-03-06 00:00:00,1.0314459
2019-03-06 01:00:00,1.0314459
2019-03-06 02:00:00,1.0314459
2019-03-06 03:00:00,1.0314459
2019-03-06 04:00:00,1.0314459
2019-03-06 05:00:00,1.0314459
2019-03-06 06:00:00,1.0314459
2019-03-06 07:00:00,1.0314459
2019-03-06 08:00:00,1.0314459
2019-03-06 09:00:00,1.0314459
2019-03-06 10:00:00,1.0314459
2019-03-06 11:00:00,1.0314459
2019-03-06 12:00:00,1.0314459
2019-03-06 13:00:00,1.0314459
2019-03-06 14:00:00,1.0314459
2019-03-06 15:00:00,1.0314459
2019-03-06 16:00:00,1.0314459
2019-03-06 17:00:00,1.0314459
2019-03-06 18:00:00,1.0314459
2019-03-06 19:00:00,1.0314459
2019-03-06 20:00:00,1.0314459
2019-03-06 21:00:00,1.0314459
2019-03-06 22:00:00,1.0314459
2019-03-06 23:00:00,1.0314459
2019-03-07 00:00:00,1.0314459
2019-03-07 01:00:00,1.0314459
2019-03-07 02:00:00,259.89145
2019-03-07 03:00:00,518.75146
2019-03-07 04:00:00,777.61145
2019-03-07 05:00:00,777.61145
2019-03-07 06:00:00,777.61145
2019-03-07 07:00:00,389.69937
2019-03-07 08:00:00,5.2714214
2019-03-07 09:00:00,1.0469387
2019-03-07 10:00:00,1.0469387
2019-03-07 11:00:00,1.0469387
2019-03-07 12:00:00,1.0469387
2019-03-07 13:00:00,1.0469387
2019-03-07 14:00:00,1.0469387
2019-03-07 15:00:00,1.0469387
2019-03-07 16:00:00,1.0469387
2019-03-07 17:00:00,1.0469387
2019-03-07 18:00:00,1.0469387
2019-03-07 19:00:00,1.0469387
2019-03-07 20:00:00,1.0469387
2019-03-07 21:00:00,1.0469387
2019-03-07 22:00:00,259.90695
2019-03-07 23:00:00,518.76697
2019-03-08 00:00:00,777.62695
2019-03-08 01:00:00,1036.4869
2019-03-08 02:00:00,1295.3469
2019-03-08 03:00:00,1554.2069
2019-03-08 04:00:00,1813.0669
2019-03-08 05:00:00,1813.0669
2019-03-08 06:00:00,1813.0669
2019-03-08 07:00:00,1813.0669
2019-03-08 08:00:00,1425.1549
2019-03-08 09:00:00,1425.1549
2019-03-08 10:00:00,1425.1549
2019-03-08 11:00:00,1425.1549
2019-03-08 12:00:00,1425.1549
2019-03-08 13:00:00,1425.1549
2019-03-08 14:00:00,1425.1549
2019-03-08 15:00:00,1425.1549
2019-03-08 16:00:00,1425.1549
2019-03-08 17:00:00,1037.2428
2019-03-08 18:00:00,649.3307
2019-03-08 19:00:00,261.41858
2019-03-08 20:00:00,3.8617427
2019-03-08 21:00:00,1.0314478
2019-03-08 22:00:00,1.0314478
2019-03-08 23:00:00,1.0314478
2019-03-09 00:00:00,1.0314478
2019-03-09 01:00:00,1.0314478
2019-03-09 02:00:00,1.0314478
2019-03-09 03:00:00,259.89145
2019-03-09 04:00:00,518.75146
2019-03-09 05:00:00,777.61145
2019-03-09 06:00:00,1036.4714
2019-03-09 07:00:00,1295.3314
2019-03-09 08:00:00,1295.3314
2019-03-09 09:00:00,1295.3314
2019-03-09 10:00:00,1295.3314
2019-03-09 11:00:00,1295.3314
2019-03-09 12:00:00,1295.3314
2019-03-09 13:00:00,1295.3314
2019-03-09 14:00:00,1295.3314
2019-03-09 15:00:00,1295.3314
2019-03-09 16:00:00,1295.3314
2019-03-09 17:00:00,1295.3314
2019-03-09 18:00:00,907.4194
2019-03-09 19:00:00,519.50726
2019-03-09 20:00:00,131.59518
2019-03-09 21:00:00,131.59518
2019-03-09 22:00:00,131.59518
2019-03-09 23:00:00,390.45517
2019-03-10 00:00:00,649.3152
2019-03-10 01:00:00,908.1752
2019-03-10 02:00:00,1167.0352
2019-03-10 03:00:00,1425.8951
2019-03-10 04:00:00,1684.7551
2019-03-10 05:00:00,1943.6152
2019-03-10 06:00:00,1943.6152
2019-03-10 07:00:00,1943.6152
2019-03-10 08:00:00,1943.6152
2019-03-10 09:00:00,1555.7031
2019-03-10 10:00:00,1167.791
2019-03-10 11:00:00,779.8789
2019-03-10 12:00:00,391.96683
2019-03-10 13:00:00,5.296339
2019-03-10 14:00:00,1.0472125
2019-03-10 15:00:00,1.0472125
2019-03-10 16:00:00,1.0472125
2019-03-10 17:00:00,1.0472125
2019-03-10 18:00:00,1.0472125
2019-03-10 19:00:00,1.0472125
2019-03-10 20:00:00,1.0472125
2019-03-10 21:00:00,1.0472125
2019-03-10 22:00:00,259.90723
2019-03-10 23:00:00,518.7672
2019-03-11 00:00:00,777.6272
2019-03-11 01:00:00,1036.4872
2019-03-11 02:00:00,1295.3472
2019-03-11 03:00:00,1554.2072
2019-03-11 04:00:00,1813.0673
2019-03-11 05:00:00,2064.0
2019-03-11 06:00:00,2064.0
2019-03-11 07:00:00,2064.0
2019-03-11 08:00:00,1676.0879
2019-03-11 09:00:00,1288.1758
2019-03-11 10:00:00,1288.1758
2019-03-11 11:00:00,1288.1758
2019-03-11 12:00:00,1288.1758
2019-03-11 13:00:00,1288.1758
2019-03-11 14:00:00,1288.1758
2019-03-11 15:00:00,1288.1758
2019-03-11 16:00:00,900.26373
2019-03-11 17:00:00,900.26373
2019-03-11 18:00:00,512.3516
2019-03-11 19:00:00,124.43956
2019-03-11 20:00:00,2.3564787
2019-03-11 21:00:00,1.0149064
2019-03-11 22:00:00,1.0149064
2019-03-11 23:00:00,1.0149064
2019-03-12 00:00:00,1.0149064
2019-03-12 01:00:00,1.0149064
2019-03-12 02:00:00,1.0149064
2019-03-12 03:00:00,1.0149064
2019-03-12 04:00:00,1.0149064
2019-03-12 05:00:00,1.0149064
2019-03-12 06:00:00,1.0149064
2019-03-12 07:00:00,1.0149064
2019-03-12 08:00:00,1.0149064
2019-03-12 09:00:00,1.0149064
2019-03-12 10:00:00,1.0149064
2019-03-12 11:00:00,1.0149064
2019-03-12 12:00:00,1.0149064
2019-03-12 13:00:00,1.0149064
2019-03-12 14:00:00,1.0149064
2019-03-12 15:00:00,1.0149064
2019-03-12 16:00:00,1.0149064
2019-03-12 17:00:00,1.0149064
2019-03-12 18:00:00,1.0149064
2019-03-12 19:00:00,1.0149064
2019-03-12 20:00:00,1.0149064
2019-03-12 21:00:00,1.0149064
2019-03-12 22:00:00,1.0149064
2019-03-12 23:00:00,259.8749
2019-03-13 00:00:00,518.7349
2019-03-13 01:00:00,777.5949
2019-03-13 02:00:00,1036.455
2019-03-13 03:00:00,1295.315
2019-03-13 04:00:00,1554.1749
2019-03-13 05:00:00,1813.0349
2019-03-13 06:00:00,1813.0349
2019-03-13 07:00:00,1813.0349
2019-03-13 08:00:00,1425.1228
2019-03-13 09:00:00,1037.2107
2019-03-13 10:00:00,1037.2107
2019-03-13 11:00:00,1037.2107
2019-03-13 12:00:00,1037.2107
2019-03-13 13:00:00,1037.2107
2019-03-13 14:00:00,1037.2107
2019-03-13 15:00:00,1037.2107
2019-03-13 16:00:00,1037.2107
2019-03-13 17:00:00,1037.2107
2019-03-13 18:00:00,649.29865
2019-03-13 19:00:00,261.38657
2019-03-13 20:00:00,3.8613908
2019-03-13 21:00:00,1.0314438
2019-03-13 22:00:00,1.0314438
2019-03-13 23:00:00,259.89145
2019-03-14 00:00:00,518.75146
2019-03-14 01:00:00,777.61145
2019-03-14 02:00:00,1036.4714
2019-03-14 03:00:00,1295.3314
2019-03-14 04:00:00,1554.1914
2019-03-14 05:00:00,1554.1914
2019-03-14 06:00:00,1554.1914
2019-03-14 07:00:00,1554.1914
2019-03-14 08:00:00,1166.2793
2019-03-14 09:00:00,778.36725
2019-03-14 10:00:00,390.45517
2019-03-14 11:00:00,5.2797275
2019-03-14 12:00:00,1.04703
2019-03-14 13:00:00,1.04703
2019-03-14 14:00:00,1.04703
2019-03-14 15:00:00,1.04703
2019-03-14 16:00:00,1.04703
2019-03-14 17:00:00,1.04703
2019-03-14 18:00:00,1.04703
2019-03-14 19:00:00,1.04703
2019-03-14 20:00:00,1.04703
2019-03-14 21:00:00,1.04703
2019-03-14 22:00:00,1.04703
2019-03-14 23:00:00,1.04703
2019-03-15 00:00:00,259.90704
2019-03-15 01:00:00,518.767
2019-03-15 02:00:00,777.627
2019-03-15 03:00:00,1036.487
2019-03-15 04:00:00,1295.347
2019-03-15 05:00:00,1295.347
2019-03-15 06:00:00,1295.347
2019-03-15 07:00:00,907.43494
2019-03-15 08:00:00,519.5228
2019-03-15 09:00:00,131.61076
2019-03-15 10:00:00,2.4352832
2019-03-15 11:00:00,1.0157723
2019-03-15 12:00:00,1.0157723
2019-03-15 13:00:00,1.0157723
2019-03-15 14:00:00,1.0157723
2019-03-15 15:00:00,1.0157723
2019-03-15 16:00:00,1.0157723
2019-03-15 17:00:00,1.0157723
2019-03-15 18:00:00,1.0157723
2019-03-15 19:00:00,1.0157723
2019-03-15 20:00:00,1.0157723
2019-03-15 21:00:00,1.0157723
2019-03-15 22:00:00,1.0157723
2019-03-15 23:00:00,1.0157723
2019-03-16 00:00:00,259.87576
2019-03-16 01:00:00,518.7358
2019-03-16 02:00:00,777.59576
2019-03-16 03:00:00,1036.4558
2019-03-16 04:00:00,1295.3158
2019-03-16 05:00:00,1295.3158
2019-03-16 06:00:00,1295.3158
2019-03-16 07:00:00,1295.3158
2019-03-16 08:00:00,907.4037
2019-03-16 09:00:00,519.4916
2019-03-16 10:00:00,131.57951
2019-03-16 11:00:00,2.4349396
2019-03-16 12:00:00,1.0157685
2019-03-16 13:00:00,1.0157685
2019-03-16 14:00:00,1.0157685
2019-03-16 15:00:00,1.0157685
2019-03-16 16:00:00,1.0157685
2019-03-16 17:00:00,1.0157685
2019-03-16 18:00:00,1.0157685
2019-03-16 19:00:00,1.0157685
2019-03-16 20:00:00,1.0157685
2019-03-16 21:00:00,1.0157685
2019-03-16 22:00:00,1.0157685
2019-03-16 23:00:00,1.0157685
2019-03-17 00:00:00,1.0157685
2019-03-17 01:00:00,1.0157685
2019-03-17 02:00:00,1.0157685
2019-03-17 03:00:00,1.0157685
2019-03-17 04:00:00,259.87576
2019-03-17 05:00:00,259.87576
2019-03-17 06:00:00,259.87576
2019-03-17 07:00:00,518.7358
2019-03-17 08:00:00,777.59576
2019-03-17 09:00:00,1036.4558
2019-03-17 10:00:00,1295.3158
2019-03-17 11:00:00,1554.1758
2019-03-17 12:00:00,1813.0358
2019-03-17 13:00:00,2064.0
2019-03-17 14:00:00,2064.0
2019-03-17 15:00:00,2064.0
2019-03-17 16:00:00,2064.0
2019-03-17 17:00:00,2064.0
2019-03-17 18:00:00,1676.0879
2019-03-17 19:00:00,1288.1758
2019-03-17 20:00:00,900.26373
2019-03-17 21:00:00,512.3516
2019-03-17 22:00:00,512.3516
2019-03-17 23:00:00,771.2117
2019-03-18 00:00:00,1030.0717
2019-03-18 01:00:00,1288.9316
2019-03-18 02:00:00,1547.7916
2019-03-18 03:00:00,1806.6516
2019-03-18 04:00:00,2064.0
2019-03-18 05:00:00,2064.0
2019-03-18 06:00:00,2064.0
2019-03-18 07:00:00,2064.0
2019-03-18 08:00:00,2064.0
2019-03-18 09:00:00,2064.0
2019-03-18 10:00:00,2064.0
2019-03-18 11:00:00,2064.0
2019-03-18 12:00:00,2064.0
2019-03-18 13:00:00,2064.0
2019-03-18 14:00:00,2064.0
2019-03-18 15:00:00,2064.0
2019-03-18 16:00:00,2064.0
2019-03-18 17:00:00,2064.0
2019-03-18 18:00:00,2064.0
2019-03-18 19:00:00,2064.0
2019-03-18 20:00:00,2064.0
2019-03-18 21:00:00,2064.0
2019-03-18 22:00:00,2064.0
2019-03-18 23:00:00,2064.0
2019-03-19 00:00:00,2064.0
2019-03-19 01:00:00,2064.0
2019-03-19 02:00:00,2064.0
2019-03-19 03:00:00,2064.0
2019-03-19 04:00:00,2064.0
2019-03-19 05:00:00,2064.0
2019-03-19 06:00:00,2064.0
2019-03-19 07:00:00,2064.0
2019-03-19 08:00:00,1676.0879
2019-03-19 09:00:00,1288.1758
2019-03-19 10:00:00,1288.1758
2019-03-19 11:00:00,1288.1758
2019-03-19 12:00:00,1288.1758
2019-03-19 13:00:00,1288.1758
2019-03-19 14:00:00,1288.1758
2019-03-19 15:00:00,1288.1758
2019-03-19 16:00:00,1288.1758
2019-03-19 17:00:00,1288.1758
2019-03-19 18:00:00,900.26373
2019-03-19 19:00:00,512.3516
2019-03-19 20:00:00,124.43956
2019-03-19 21:00:00,2.3564787
2019-03-19 22:00:00,1.0149064
2019-03-19 23:00:00,1.0149064
2019-03-20 00:00:00,1.0149064
2019-03-20 01:00:00,1.0149064
2019-03-20 02:00:00,259.8749
2019-03-20 03:00:00,518.7349
2019-03-20 04:00:00,777.5949
2019-03-20 05:00:00,1036.455
2019-03-20 06:00:00,1036.455
2019-03-20 07:00:00,1036.455
2019-03-20 08:00:00,648.54285
2019-03-20 09:00:00,648.54285
2019-03-20 10:00:00,648.54285
2019-03-20 11:00:00,648.54285
2019-03-20 12:00:00,648.54285
2019-03-20 13:00:00,648.54285
2019-03-20 14:00:00,907.40283
2019-03-20 15:00:00,1166.2628
2019-03-20 16:00:00,1425.1228
2019-03-20 17:00:00,1425.1228
2019-03-20 18:00:00,1425.1228
2019-03-20 19:00:00,1037.2107
2019-03-20 20:00:00,649.29865
2019-03-20 21:00:00,261.38657
